date,price,bedrooms,bathrooms,floors,waterfront,view,condition,sqft_above,sqft_basement,street,city,country
5/2/2014 0:00,313000,3,1.5,1.5,0,0,3,1340,0,18810 Densmore Ave N,Shoreline,USA
5/2/2014 0:00,2384000,5,2.5,2,0,4,5,3370,280,709 W Blaine St,Seattle,USA
5/2/2014 0:00,342000,3,2,1,0,0,4,1930,0,26206-26214 143rd Ave SE,Kent,USA
5/2/2014 0:00,420000,3,2.25,1,0,0,4,1000,1000,857 170th Pl NE,Bellevue,USA
5/2/2014 0:00,550000,4,2.5,1,0,0,4,1140,800,9105 170th Ave NE,Redmond,USA
5/2/2014 0:00,490000,2,1,1,0,0,3,880,0,522 NE 88th St,Seattle,USA
5/2/2014 0:00,335000,2,2,1,0,0,3,1350,0,2616 174th Ave NE,Redmond,USA
5/2/2014 0:00,482000,4,2.5,2,0,0,3,2710,0,23762 SE 253rd Pl,Maple Valley,USA
5/2/2014 0:00,452500,3,2.5,1,0,0,4,1570,860,46611-46625 SE 129th St,North Bend,USA
5/2/2014 0:00,640000,4,2,1.5,0,0,3,1520,0,6811 55th Ave NE,Seattle,USA
5/2/2014 0:00,463000,3,1.75,1,0,0,3,1710,0,Burke-Gilman Trail,Lake Forest Park,USA
5/2/2014 0:00,1400000,4,2.5,1.5,0,0,5,1910,1010,3838-4098 44th Ave NE,Seattle,USA
5/2/2014 0:00,588500,3,1.75,1,0,0,3,1970,360,1833 220th Pl NE,Sammamish,USA
5/2/2014 0:00,365000,3,1,1,0,0,4,1090,0,2504 SW Portland Ct,Seattle,USA
5/2/2014 0:00,1200000,5,2.75,1.5,0,0,3,2910,0,3534 46th Ave NE,Seattle,USA
5/2/2014 0:00,242500,3,1.5,1,0,0,4,1200,0,14034 SE 201st St,Kent,USA
5/2/2014 0:00,419000,3,1.5,1,0,0,4,1570,0,15424 SE 9th St,Bellevue,USA
5/2/2014 0:00,367500,4,3,2,0,0,3,3110,0,11224 SE 306th Pl,Auburn,USA
5/2/2014 0:00,257950,3,1.75,1,0,0,3,1370,0,1605 S 245th Pl,Des Moines,USA
5/2/2014 0:00,275000,3,1.5,1,0,0,3,1180,0,12425 415th Ave SE,North Bend,USA
5/2/2014 0:00,750000,3,1.75,2,0,0,5,1550,690,3225 NE 92nd St,Seattle,USA
5/2/2014 0:00,435000,4,1,1,0,0,4,1450,0,3922 154th Ave SE,Bellevue,USA
5/2/2014 0:00,626000,3,2.25,2.5,0,0,3,1470,280,3140 Franklin Ave E,Seattle,USA
5/2/2014 0:00,612500,4,2.5,2,0,0,3,2730,0,10212 NE 156th Pl,Bothell,USA
5/2/2014 0:00,495000,4,1.75,1,0,0,3,1130,470,2021 NE 100th St,Seattle,USA
5/2/2014 0:00,285000,3,2.5,1,0,0,4,1360,730,27736 23rd Avenue South,Federal Way,USA
5/2/2014 0:00,615000,3,1.75,1,0,0,4,1360,1000,8436-8438 41st Ave SW,Seattle,USA
5/2/2014 0:00,698000,4,2.25,1.5,0,0,5,1300,900,1036 4th St,Kirkland,USA
5/2/2014 0:00,675000,5,2.5,2,0,0,3,2820,0,23525 SE 32nd Way,Issaquah,USA
5/2/2014 0:00,790000,3,2.5,1,0,0,4,1700,900,3314 NW 75th St,Seattle,USA
5/2/2014 0:00,382500,4,1.75,1,0,0,4,1560,0,14104 119th Ave NE,Kirkland,USA
5/2/2014 0:00,499950,4,2.5,2,0,0,3,2190,670,20120 137th Ave NE,Woodinville,USA
5/2/2014 0:00,650000,4,2,1.5,0,1,3,1640,180,7201-7399 55th Ave NE,Seattle,USA
5/2/2014 0:00,625000,4,2.5,2,0,0,3,2820,0,17052 4th Ave NE,Shoreline,USA
5/2/2014 0:00,400000,4,2.5,1.5,0,0,3,2300,1330,5172-5198 Heather Ave SE,Auburn,USA
5/2/2014 0:00,604000,3,2.5,2,0,2,3,3240,0,30822 36th Ct SW,Federal Way,USA
5/2/2014 0:00,440000,2,1,1,0,0,4,800,0,4801-4899 6th Ave NW,Seattle,USA
5/2/2014 0:00,287200,3,3,1,0,0,4,1090,760,23017 SE 281st Ct,Maple Valley,USA
5/2/2014 0:00,403000,3,2,1,0,2,5,1650,310,17825 4th Ave SW,Normandy Park,USA
5/2/2014 0:00,750000,3,2.5,1,0,2,4,1440,950,3628 59th Ave SW,Seattle,USA
5/2/2014 0:00,335000,3,2.25,1,0,0,4,1580,0,4460 332nd Ave SE,Fall City,USA
5/2/2014 0:00,260000,4,2,1,0,0,4,1480,0,2019 Aberdeen Pl SE,Renton,USA
5/2/2014 0:00,308500,2,1,1,0,0,4,850,0,121 NE 147th St,Shoreline,USA
5/2/2014 0:00,439950,3,2.5,2,0,0,3,1770,0,4458 51st Ave SW,Seattle,USA
5/2/2014 0:00,235000,2,1,1,0,0,2,1210,0,7542 21st Ave SW,Seattle,USA
5/2/2014 0:00,315000,3,1,1,0,0,3,1160,0,15804 198th Pl NE,Woodinville,USA
5/2/2014 0:00,437500,3,2.25,2,0,0,4,1970,0,26069 SE 154th St,Issaquah,USA
5/2/2014 0:00,407500,3,2.5,2,0,0,3,1930,0,4314 NE 6th Pl,Renton,USA
5/2/2014 0:00,445700,3,2.5,3,0,0,3,1270,0,2640 NW 56th St,Seattle,USA
5/2/2014 0:00,838000,4,2.5,2,0,0,3,3310,0,15712 NE 136th Pl,Redmond,USA
5/2/2014 0:00,630000,4,2.75,2,0,0,3,2710,0,26429 SE 154th Pl,Issaquah,USA
5/2/2014 0:00,550000,3,1.75,1.5,0,0,3,2910,0,3923 229th Pl SE,Sammamish,USA
5/2/2014 0:00,805000,3,2,1.5,0,0,4,1880,830,6222 30th Ave NE,Seattle,USA
5/2/2014 0:00,284000,3,1.75,1,0,0,3,1800,0,32418 NE 50th St,Carnation,USA
5/2/2014 0:00,470000,5,2.5,1,0,0,3,1460,750,19334 89th Ave NE,Bothell,USA
5/2/2014 0:00,430000,4,1.5,1,0,0,4,1070,850,4071 156th Ave SE,Bellevue,USA
5/2/2014 0:00,491500,4,1.75,1,0,2,3,2190,0,36850 204th Ave SE,Auburn,USA
5/2/2014 0:00,785000,5,3.25,2,0,2,3,3660,0,7425 Snowberry Ave SE,Snoqualmie,USA
5/2/2014 0:00,385000,3,3.25,2,0,0,3,1040,280,3400 21st Ave W,Seattle,USA
5/2/2014 0:00,295000,2,2.5,2,0,0,3,1280,350,5944-6082 Delridge Way SW,Seattle,USA
5/2/2014 0:00,555000,4,2.5,2,0,0,3,3310,0,35229 SE Terrace St,Snoqualmie,USA
5/2/2014 0:00,459990,3,2.5,2,0,0,3,2680,0,13800 453rd Ave SE,North Bend,USA
5/2/2014 0:00,625000,4,3.25,1,0,0,3,1560,1170,9927 174th Ave SE,Renton,USA
5/2/2014 0:00,300000,3,2.5,2,0,0,3,2540,0,29734 215th Terrace SE,Kent,USA
5/3/2014 0:00,625000,4,2.75,2,0,0,3,2920,0,5608 NE 5th Cir,Renton,USA
5/3/2014 0:00,553000,2,1,1,0,0,3,900,0,8053 29th Ave NW,Seattle,USA
5/3/2014 0:00,379880,3,2.5,1,0,0,4,1130,520,13256 242nd Pl SE,Issaquah,USA
5/3/2014 0:00,310000,3,1,1,0,0,4,1010,0,7528 N Fork Rd SE,Snoqualmie,USA
5/4/2014 0:00,775000,2,2.5,1,0,0,3,2680,0,13134 234th Ct NE,Redmond,USA
5/4/2014 0:00,365000,3,2.5,1,0,0,5,1570,630,13420 SE 182nd St,Renton,USA
5/4/2014 0:00,331950,4,2.5,2,0,2,3,2010,520,925 48th Ct,Auburn,USA
5/4/2014 0:00,783500,3,2.5,2,0,0,3,1990,860,151 Euclid Ave,Seattle,USA
5/4/2014 0:00,628000,4,2,1,0,0,3,1140,1140,205-206 Euclid Ave,Seattle,USA
5/5/2014 0:00,560000,3,2.5,2,0,0,3,1900,0,22314 NE 11th Pl,Sammamish,USA
5/5/2014 0:00,900000,3,1,1,0,0,3,1330,0,13615 NE 100th St,Kirkland,USA
5/5/2014 0:00,531000,2,3,2,0,0,3,1110,160,1411 N 48th St,Seattle,USA
5/5/2014 0:00,831000,4,3,2,0,0,4,1610,560,120 31st Ave E,Seattle,USA
5/5/2014 0:00,780000,4,2.5,2,0,2,3,2730,0,23140 NE 14th Ct,Sammamish,USA
5/5/2014 0:00,755000,4,2.5,1,0,0,4,1620,500,12645 SE 27th St,Bellevue,USA
5/5/2014 0:00,705380,3,2.5,2,0,0,3,2490,0,3187 NE Larkspur Ln,Issaquah,USA
5/5/2014 0:00,627000,4,2.25,1,0,0,3,1210,780,18915 SE 42nd Pl,Issaquah,USA
5/5/2014 0:00,865000,4,3,2,0,0,3,3690,0,1765 267th Ct SE,Sammamish,USA
5/5/2014 0:00,580000,2,1,1,0,0,5,1320,1220,8624 Island Dr S,Seattle,USA
5/5/2014 0:00,410000,3,2.25,1,0,0,4,1360,440,24502 SE Mirrormont Dr,Issaquah,USA
5/5/2014 0:00,485000,4,3,1,0,0,4,1340,1000,14319 85th Pl NE,Kirkland,USA
5/5/2014 0:00,400000,2,1.75,1,0,0,2,2110,0,2120 NE 168th St,Shoreline,USA
5/5/2014 0:00,549000,2,1,1,0,0,5,1140,0,209 30th Ave E,Seattle,USA
5/5/2014 0:00,620000,3,1.75,2.5,0,0,3,1480,0,10512 128th Ave NE,Kirkland,USA
5/5/2014 0:00,405000,2,3,2,0,0,3,1140,270,9126 45th Ave SW,Seattle,USA
5/5/2014 0:00,232000,2,1,1,0,0,4,1200,0,20220 8th Ave S,Des Moines,USA
5/5/2014 0:00,800866,5,2.5,2,0,0,4,3180,0,11821 NE 48th Pl,Kirkland,USA
5/5/2014 0:00,650000,3,1.5,1,0,2,4,1400,760,13026 10th Ave NW,Seattle,USA
5/5/2014 0:00,823000,6,1.75,2.5,0,0,4,2780,140,125 29th Ave,Seattle,USA
5/5/2014 0:00,770000,3,2,1.5,0,0,4,1810,540,2171 Boyer Ave E,Seattle,USA
5/5/2014 0:00,524000,3,1.75,1,0,0,4,780,780,3434 33rd Ave W,Seattle,USA
5/5/2014 0:00,541125,5,2.75,1,0,0,4,1370,1370,5211 116th Pl SE,Bellevue,USA
5/5/2014 0:00,670000,3,2.5,3,0,0,3,1680,0,3503 NE 44th St,Seattle,USA
5/5/2014 0:00,384900,5,2.5,1,0,0,3,1750,1340,114 SW 292nd St,Federal Way,USA
5/5/2014 0:00,406100,3,2.25,3,0,0,3,1410,0,8536 Interlake Ave N,Seattle,USA
5/5/2014 0:00,1395000,5,3.5,2,0,1,5,2850,1160,3930 NE Belvoir Pl,Seattle,USA
5/5/2014 0:00,736500,4,2.5,2,0,3,3,3180,0,17132 SE 100th St,Renton,USA
5/5/2014 0:00,570000,3,2.25,1,0,0,3,1330,680,10204 168th Pl NE,Redmond,USA
5/5/2014 0:00,787000,3,1.75,1,0,0,3,1330,0,218 109th Ave SE,Bellevue,USA
5/5/2014 0:00,328000,4,2.5,2,0,0,3,2370,0,12621 SE 300th Way,Auburn,USA
5/5/2014 0:00,435000,5,2,1,0,0,4,1540,300,14013 Ashworth Ave N,Seattle,USA
5/5/2014 0:00,499000,4,2.5,2,0,0,3,2910,0,34010 SE Sorenson St,Snoqualmie,USA
5/5/2014 0:00,501000,4,1,1,0,0,3,1160,910,2506 166th Ave NE,Bellevue,USA
5/5/2014 0:00,1090000,4,2.5,2.5,0,0,3,4340,0,8814 218th Ave NE,Redmond,USA
5/5/2014 0:00,400000,2,1,1,0,0,3,840,0,4515 SW Trenton St,Seattle,USA
5/5/2014 0:00,220000,4,1.5,1,0,0,3,1240,0,4924 SW 314th Pl,Federal Way,USA
5/5/2014 0:00,657100,4,1,1,0,0,3,1050,340,4312 Woodlawn Ave N,Seattle,USA
5/5/2014 0:00,309950,4,2.75,2,0,0,3,2310,0,22912 SE 268th Pl,Maple Valley,USA
5/5/2014 0:00,300000,3,2,1,0,0,3,1050,0,27106 NE Miller St,Duvall,USA
5/5/2014 0:00,525888,5,1.75,1,0,0,5,1810,740,13129 195th Pl SE,Issaquah,USA
5/5/2014 0:00,740000,4,1.75,1.5,0,0,3,2010,0,1014 W Garfield St,Seattle,USA
5/5/2014 0:00,340000,5,1,1.5,0,0,4,1120,0,14150 75th Ave NE,Kirkland,USA
5/5/2014 0:00,398750,3,2.5,2,0,0,3,2230,0,2601 21st Ave S,Seattle,USA
5/5/2014 0:00,206000,2,1,1,0,0,5,810,0,12807 7th Ave S,Burien,USA
5/5/2014 0:00,1030000,5,2.75,1,0,3,3,1690,1500,4529 135th Ave SE,Bellevue,USA
5/5/2014 0:00,600000,3,1.75,1,0,0,4,1670,0,1804 E Beaver Lake Dr SE,Sammamish,USA
5/5/2014 0:00,379950,4,1.75,1,0,0,5,1140,830,1701 N 204th Pl,Shoreline,USA
5/5/2014 0:00,287000,3,1,1,0,0,4,1450,0,8681 Beacon Ave S,Seattle,USA
5/5/2014 0:00,2280000,7,8,3,0,4,3,9410,4130,26408 NE 70th St,Redmond,USA
5/5/2014 0:00,309950,3,2.5,2,0,0,3,1880,0,17717 113th Pl SE,Renton,USA
5/5/2014 0:00,600000,3,1.75,1,0,0,4,1040,840,8040 39th Ave NE,Seattle,USA
5/5/2014 0:00,418000,3,2,1.5,0,0,4,1410,0,901 N 97th St,Seattle,USA
